,Game Name,Developer,Genre,Rating,Ratings Count,Reviews,Installs,Real Installs,Price,Free,Content Rating,Released,Updated,Version,Developer Website
582,Plants vs. Zombies™ Heroes,ELECTRONIC ARTS,Card,4.0716133,843989.0,40243.0,"50,000,000+",58034427,0.0,True,Everyone,"Oct 17, 2016",1780553510.0,1.66.7,http://www.ea.com/android
583,God of Cricket,Deftouch,Sports,4.125,17020.0,2.0,"5,000,000+",5675416,0.0,True,Everyone,"Apr 1, 2026",1782922898.0,0.3.0,https://deftouch.com/
584,Adventure Trivia Crack,etermax,Trivia,4.496148,168917.0,4136.0,"10,000,000+",12777272,0.0,True,Everyone,"Nov 17, 2020",1779476279.0,2.107.0,https://www.etermax.com
585,Words With Friends Word Game,Zynga,Word,4.0876656,521221.0,143743.0,"10,000,000+",41147983,0.0,True,Everyone,"Nov 7, 2017",1782940999.0,57.00.03,http://www.zynga.com
586,Nitro Nation: Car Racing Game,Supercharge Mobile,Racing,4.3947344,1575091.0,68184.0,"50,000,000+",69497200,0.0,True,Everyone,"Apr 2, 2014",1780415063.0,8.6.0,https://www.superchargemobile.app/
587,Into the Dead 2,PIKPOK,Action,4.5480437,713758.0,28800.0,"10,000,000+",45481590,0.0,True,Mature 17+,"Oct 11, 2017",1780354052.0,1.85.0,http://www.pikpok.com
588,My Perfect Hotel,SayGames Ltd,Arcade,4.5575476,1777637.0,17314.0,"100,000,000+",194303261,0.0,True,Everyone,"Apr 13, 2022",1783095376.0,1.34.0,https://say.games/
589,Holyscapes - Bible Word Game,Oakever Games,Word,4.785714,31234.0,3966.0,"500,000+",537096,0.0,True,Everyone,"Feb 11, 2022",1781618293.0,1.61.0,https://oakevergames.com/
590,"Minecraft: Dream it, Build it!",Mojang,Arcade,4.315539,5716043.0,633461.0,"50,000,000+",91490216,6.99,False,Everyone 10+,"Aug 15, 2011",1782338684.0,1.26.32.2,http://help.mojang.com
591,Triple Tile: Match Puzzle Game,Tripledot Studios Limited,Casual,4.8345056,1054881.0,21797.0,"50,000,000+",74419488,0.0,True,Everyone,"Jul 29, 2021",1781598528.0,2.75.03,https://www.tripledotstudios.com
592,Zombie Sniper War 3 - Fire FPS,JE Software AB,Action,4.6639175,142658.0,3933.0,"10,000,000+",11874015,0.0,True,Mature 17+,"Aug 24, 2022",1782487223.0,2.0,https://www.jesoftware.se
593,Soccer Duel: Football Game,Miniclip.com,Sports,4.58,11391.0,40.0,"1,000,000+",1902077,0.0,True,Everyone,"Sep 9, 2024",1761043391.0,9.3.0,https://www.miniclip.com/
594,Race Craft - Kids Car Games,Budge Studios,Racing,4.6065574,35021.0,946.0,"10,000,000+",20210929,0.0,True,Everyone,"Mar 5, 2020",1770054369.0,2026.1.0,http://www.budgestudios.com
